name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Exhibition ,Ariel Way,London,Ariel Way,Hammersmith and Fulham,https://exhibitionlondon.co.uk/,,E09000013,Shepherd's Bush Green,E05013748,51.50976106,-0.222872173,523423.1367,180477.9839
Koko,1a Camden High Street; Camden Town; London NW1 7JE,London,1A Camden High St,Camden,https://www.koko.co.uk/,,E09000007,Regent's Park,E05013668,51.534617,-0.138338,529218.6937,183387.803
Lafayette London,"11 Goods Way, Kings Cross, London N1C 4DP",Kings Cross,11 Goods Way,Camden,What’s On - Lafayette London,,E09000007,King's Cross,E05013666,51.534613,-0.125076,530138.4644,183410.8402
OVO Arena Wembley (SSE),Arena Square; Empire Way; Wembley; London HA9 0DH;,Engineers Way ,Arena Square,Brent,OVO Arena Wembley,0,E09000005,Wembley Park,E05013516,51.558178,-0.282724,519143.5295,185763.0185
The O2 Arena,"Peninsula Square, SE10 0DX",London,Peninsula Square,Greenwich,The O2 arena | The O2,10010224811,E09000011,Greenwich Peninsula,E05014082,51.50149354,0.006379516,539356.2352,179969.8971
Wembley Stadium,"South Way, London",,,Brent,Home | Wembley Stadium,0,E09000005,Wembley Park,E05013516,51.55552194,-0.27792676,519483.0114,185475.4758
London Stadium,"Queen Elizabeth Olympic Park, London, E20 2ST",,Queen Elizabeth Ol,Tower Hamlets,www.london-stadium.com,10014035637,E09000030,Bow East,E05009319,51.543296,-0.016552,537638.6515,184574.9143
Eventim Apollo,"45 Queen Caroline Street, London, W6 9QH",London,45 Queen Caroline ,Hammersmith and Fulham,Eventim Apollo,34030384,E09000013,Hammersmith Broadway,E05013741,51.49084,-0.224504,523360.9683,178371.1737
Deptford Albany,Albany Centre & Theatre Douglas Way,Lewisham,Albany Centre & Th,Lewisham,www.thealbany.org.uk,1.00E+11,E09000023,Deptford,E05013719,51.47694769,-0.024756317,537269.0152,177181.6232
Rich Mix,35-47 Bethnal Green Road; Bethnal Green; London E1,Tower Hamlets,35-47 Bethnal Gree,Tower Hamlets,www.richmix.org.uk,6150258,E09000030,Weavers,E05009335,51.524231,-0.073812,533724.1513,182348.75
Iklectik,"20 Carlisle Lane, SE1 7LG London, United Kingdom",Carlisle Lane,The Grey Studio 20,Lambeth,www.iklectikartlab.com,10091119428,E09000022,Waterloo & South Bank,E05014118,51.498452,-0.116546,530833.5846,179404.904
Ripley Arts Center (Bromley Arts Trust),24 Sundridge Avenue Bromley,,24 Sundridge Avenu,Bromley,http://www.bromleyarts.com/ripley-arts-centre/,0,E09000006,Plaistow,E05014004,51.41248263,0.023909639,540846.477,170105.4684
Harrow Arts Centre,Uxbridge Road Harrow,,Uxbridge Road Harr,Harrow,www.harrowarts.com,2.00E+11,E09000015,Hatch End,E05013549,51.60799057,-0.362241914,513507.3572,191176.0479
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; London N22,Alexandra Palace Way ,Alexandra Palace,Haringey,www.alexandrapalace.com,10003974918,E09000014,Alexandra Park,E05013585,51.593642,-0.131921,529496.0779,189962.9112
Kings Place,"90 York Way, London, N1 9AG",London,90 York Way,Islington,www.kingsplace.co.uk,10091005851,E09000019,Caledonian,E05013700,51.534966,-0.122145,530340.7297,183455.3063
St John's Smith Square,"London, SW1P 3HA",London,Smith Square  ,Westminster,www.sjss.org.uk,0,E09000033,St James's,E05013806,51.496091,-0.126963,530117.2868,179123.808
Purcell Room,"Southbank Centre, Belvedere Rd, London SE1 8XX",London, Belvedere Road,Lambeth,https://www.southbankcentre.co.uk/venues/purcell-room?,0,E09000022,Waterloo & South Bank,E05014118,51.506081,-0.116304,530828.5371,180253.6863
Fairfield Halls,"Park Lane, Croydon, CR9 1DG",Croydon,Park Lane,Croydon,Home | Fairfield Halls | Croydon,,E09000008,Fairfield,E05011468,51.372525,-0.095804,532637.206,165439.0227
The Royal Festival Hall,Belvedere Road,London, Belvedere Road,Lambeth,https://www.southbankcentre.co.uk/venues/royal-festival-hall?,2.00E+11,E09000022,Waterloo & South Bank,E05014118,51.506081,-0.116304,530828.5371,180253.6863
The Royal Albert Hall,Kensington Gore,South Kensington,Kensington Gore,Westminster,Royal Albert Hall — Royal Albert Hall,1.00E+11,E09000033,Knightsbridge & Belgravia,E05013797,51.501441,-0.176568,526659.3008,179631.8085
Barbican Centre,Silk Street ,London,Silk Street ,City of London,Welcome to the Barbican | Barbican,2.00E+11,E09000001,Coleman Street,E05009299,51.5193739,-0.090084713,532609.4544,181779.0173
Milton Court Barbican,Silk Street,Barbican,Silk Street,City of London,Milton Court | Guildhall School of Music & Drama (gsmd.ac.uk),10025504329,E09000001,Coleman Street,E05009299,51.51936992,-0.08983981,532626.4562,181779.0186
The Clapham Grand,21-25 St. John's Hill,Wandsworth,21-25 St. John's H,Wandsworth,www.claphamgrand.com,1.00E+11,E09000032,Lavender,E05014014,51.4624427,-0.167749266,527379.8456,175310.4058
Blackheath Halls - Trinity Laban Faculty Of Music,King Charles Court Old Royal Naval College,London,King Charles Court,Greenwich,https:/www.trinitylaban.ac.uk/whats-on,0,E09000011,Greenwich Park,E05014081,51.48303249,-0.005358978,538597.5349,177894.7685
LSO St. Luke's,161 Old Street,Islington,161 Old Street,Islington,www.lso.co.uk/lso-st-lukes.html,5300069641,E09000019,Bunhill,E05013699,51.52464542,-0.092372756,532435.4314,182361.0733
Cadogan Hall Limited,5 Sloane Terrace,,,Westminster,,217078765,E09000033,Knightsbridge & Belgravia,E05013797,51.4933534,-0.155689881,528130.9856,178768.7581
Royal Opera House,"Bow Street, Covent Garden, London WC2E 9DD",,Covent Garden City,Westminster,www.roh.org.uk,10033547198,E09000033,St James's,E05013806,51.513687,-0.12287,530351.1778,181087.7746
The Hammersmith Club,11 Rutland Grove,Hammersmith And Fulham,11 Rutland Grove,Hammersmith and Fulham,,34149712,E09000013,Hammersmith Broadway,E05013741,51.48924321,-0.228592553,523081.4395,178186.7325
O2 Forum Kentish Town,9-17 Highgate Rd ,London,9-17 Highgate Rd ,Camden,www.academymusicgroup.com/o2forumkentishtown,0,E09000007,Kentish Town North,E05013663,51.552153,-0.141834,528926.6841,185331.668
O2 Academy Brixton,211 Stockwell Road; Stockwell; London SW9 9SL; Uni,Lambeth,211 Stockwell Road,Lambeth,www.academymusicgroup.com/o2academybrixton,1.00E+11,E09000022,Brixton North,E05014096,51.46512,-0.11489,531043.9272,175701.3058
O2 Academy Islington,N1 Centre; 16 Parkfield Street; Angel; London N1 0,Islington,16 Parkfield Stree,Islington,www.academymusicgroup.com/o2academyislington,10001296717,E09000019,St Mary's & St James',E05013710,51.534827,-0.105766,531477.0491,183469.1325
The Old Blue Last,38 Great Eastern Street,Hackney,38 Great Eastern S,Hackney,www.theoldbluelast.com,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.52387021,-0.078492461,533400.5328,182300.0849
Troy Bar,10 Hoxton St; Hoxton; London N1 6NG; United Kingdo,Hackney,10 Hoxton Street,Hackney,www.troybar.co.uk,10008242403,E09000012,Hoxton East & Shoreditch,E05009377,51.527631,-0.080129,533276.0303,182715.3076
Amersham Arms,388 New Cross Road; New Cross; London SE14 6TY; Un,,,Lewisham,https://www.theamershamarms.net,1.00E+11,E09000023,Deptford,E05013719,51.475428,-0.030464,536877.2225,177001.9532
Blues Kitchen Camden (The),111-113 Camden High Street,Camden,111-113 Camden Hig,Camden,www.theblueskitchen.com/camden,5082330,E09000007,Regent's Park,E05013668,51.53656609,-0.13966635,529121.0552,183602.2011
The Boogaloo,312 Archway Road,,312 Archway Road,Haringey,,1.00E+11,E09000014,Highgate,E05013592,51.57587098,-0.142146357,528838.029,187968.6435
The Camden Assembly Pub,49 Chalk Farm Road,Camden,49 Chalk Farm Road,Camden,www.camdenassembly.com,5020249,E09000007,Camden Town,E05013655,51.54261094,-0.147698664,528546.9869,184260.2658
Windmill Brixton,22 Blenheim Gardens,Lambeth,22 Blenheim Garden,Lewisham,www.windmillbrixton.co.uk,1.00E+11,E09000023,Perry Vale,E05013729,51.44100357,-0.048614284,535718.8201,173140.2313
Oval Space,29-32 The Oval; Bethnal Green; London  E2 9DT; Uni,Tower Hamlets,29-32 The Oval,Tower Hamlets,www.ovalspace.co.uk/about/the-venues/oval-space,6155537,E09000030,St Peter's,E05009331,51.533155,-0.059262,534707.1107,183367.8305
O2 Shepherd's Bush Empire,211 Shepherd's Bush Grn,London,211 Shepherd's Bus,Hammersmith and Fulham,www.academymusicgroup.com/o2shepherdsbushempire,34030760,E09000013,Addison,E05013733,51.50385,-0.219813,523651.4146,179825.8198
Folklore,"186 Hackney Rd, London, E2 7QL",Tower Hamlets,186 Hackney Road,Tower Hamlets,https://www.folklorehoxton.com,6005502,E09000030,Weavers,E05009335,51.530509,-0.072768,533778.1725,183048.785
Royal Vauxhall Tavern,372 Kennington Lane; Oval; London SE11 5HY; United,Lambeth,372 Kennington Lan,Lambeth,www.vauxhalltavern.com,1.00E+11,E09000022,Oval,E05014108,51.484869,-0.115209,530965.2779,177896.8506
Grow,98C Wallis Road; Main Yard; London E9 5LN,,,Hackney,www.grow-hackney.squarespace.com,,E09000012,Hackney Wick,E05009374,51.544161,-0.023633,537145.0638,184657.8281
Biddle Bros,"88 Lower Clapton,  London, E5 0QR",Hackney,88 Lower Clapton R,Hackney,,1.00E+11,E09000012,Springfield,E05009383,51.571495,-0.066167,534115.5808,187618.6311
Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West & East Cheam,E05013768,51.36708629,-0.202794141,525205.5173,164646.3757
St. Moritz Club,159 Wardour Street; W1F 8WH,Wardour Street,159 Wardour St,Westminster,www.stmoritzclub.co.uk,10033622399,E09000033,West End,E05013808,51.514467,-0.135026,529505.5273,181152.9497
Grace (The)/Garage (The),20-22 Highbury Corner Highbury East,,20-22 Highbury Cor,Islington,www.thegrace.london,0,E09000019,Laycock,E05013708,51.5462,-0.103760661,531583.3247,184737.4378
Moth Club,"Valette Street, London, Hackney, E9 6NU",Hackney,Hackney Trades Hal,Hackney,www.mothclub.co.uk,1.00E+11,E09000012,Homerton,E05009376,51.545251,-0.05465,534991.2128,184721.4416
Union Chapel,"Union Chapel, Compton Terrace, London N1 2UN",Islington,19a Compton Terrac,Islington,www.unionchapel.org.uk,10008975865,E09000019,Laycock,E05013708,51.544765,-0.102481,531676.1909,184580.1657
Redon,"Arch 289, Cambridge Heath Road, London, E2 9HA, UK",,,Tower Hamlets,,,E09000030,St Peter's,E05009331,51.532114,-0.05723,534851.1135,183255.8125
Scala,275 Pentonville Road,London,275 Pentonville Rd,Camden,www.scala.co.uk,0,E09000007,King's Cross,E05013666,51.5301846,-0.11904752,530569.222,182929.1276
93 Feet East,"The Old Truman Brewery, 150 Brick Lane; Shoreditch",London,150 Brick Ln Shore,Tower Hamlets,www.93feeteast.co.uk,6717071,E09000030,Spitalfields & Banglatown,E05009333,51.521706,-0.072289,533837.1993,182070.7515
Ain't Nothin' But...,20 Kingly Street,Soho,20 Kingly Street,Westminster,http://www.aintnothinbut.co.uk/,1.00E+11,E09000033,West End,E05013808,51.51247219,-0.137952896,529308.0963,180925.9537
Vortex Jazz Club,11 Gillett Square; De Beauvoir; London N16 8JH; Un,Hackney,11 Gillett Square,Hackney,https://www.vortexjazz.co.uk/,10091818908,E09000012,Dalston,E05009370,51.54932,-0.076517,533463.1452,185133.7853
100 Club,"100 Oxford Street, London, W1D 1LL",City Of Westminster,100 Oxford Street,Westminster,www.the100club.co.uk,10033540054,E09000033,West End,E05013808,51.516215,-0.135333,529479.2711,181346.7866
Dingwalls,Middle Yard; Camden Town; London NW1 8AB; United K,London,Middle Yard Camden,Camden,www.dingwalls.com,5084282,E09000007,Camden Town,E05013655,51.541357,-0.146086,528662.3457,184123.6579
Green Note,"106 Parkway, Camden, London NW1 7AN",Camden,106 Parkway,Camden,www.greennote.co.uk,5124523,E09000007,Camden Town,E05013655,51.537253,-0.145813,528692.8478,183667.7674
Oslo Hackney,"1a Amhurst Road, Hackney, London,  E8 1LL",,1A Amhurst Rd,Hackney,www.oslohackney.com,10008289187,E09000012,Hackney Central,E05009372,51.547982,-0.05752,534784.1614,185019.8405
Servant Jazz Quarters,"10a Bradbury Street , Dalston, N16 8JH",Hackney,10 Bradbury Street,Hackney,www.servantjazzquarters.com,10008302207,E09000012,Dalston,E05009370,51.548642,-0.076722,533450.9128,185058.0162
Sebright Arms,34 Coate Street; Bethnal Green; London E2 9AG; Uni,Tower Hamlets,31-35 Coate Street,Tower Hamlets,www.sebrightarms.co.uk,6021840,E09000030,St Peter's,E05009331,51.532091,-0.063057,534447.0469,183242.5234
Village Underground,54 Holywell Lane; Shoreditch; London EC2A 3PQ; Uni,Hackney,54 Holywell Lane,Hackney,www.villageunderground.co.uk,10091784233,E09000012,Hoxton East & Shoreditch,E05009377,51.523788,-0.078034,533432.5757,182291.7791
229 The Venue,"229 Great Portland Street, Fitzrovia, London, W1W ",City Of Westminster,229 Great Portland,Westminster,www.229thevenue.com,1.00E+11,E09000033,West End,E05013808,51.522726,-0.14375,528876.9167,182055.9738
Gladstone Arms,64 Lant Street,Southwark,64 Lant Street,Southwark,www.thegladpub.co.uk,2.00E+11,E09000028,Chaucer,E05011098,51.50039049,-0.093530014,532425.4498,179661.8166
Jazz After Dark,9 Greek Street,Soho,9 Greek Street,Camden,http://www.jazzafterdark.co.uk/,10033551268,E09000007,Holborn & Covent Garden,E05013662,51.51398238,-0.129430233,529895.1588,181108.9676
Notting Hill Arts Club,21 Notting Hill Gate; Notting Hill; London W11 3JQ,Kensington And Chelsea,19-21 Notting Hill,Kensington and Chelsea,www.nottinghillartsclub.com,217059366,E09000020,Campden,E05009390,51.509376,-0.19455,525389.5063,180483.2617
Piano Works,113-117 Farringdon Rd,,,Islington,https://www.pianoworks.bar,10012787103,E09000019,Clerkenwell,E05013702,51.52235585,-0.106481583,531463.3271,182081.0435
Red Room (Ealing Jazz Club),42a The Broadway,,,Ealing,www.ealingclub.com/,12133012,E09000009,Ealing Broadway,E05013520,51.5139036,-0.300944676,517994.863,180810.0515
Roadtrip And The Workshop,243 Old Street,Hackney,,Hackney,www.roadtripbar.com,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.5261559,-0.082418851,533121.5016,182547.1051
Roundhouse,Chalk Farm Road,Chalk Farm,Chalk Farm Road Ca,Camden,www.roundhouse.org.uk/,5109516,E09000007,Camden Town,E05013655,51.542817,-0.148538,528488.2064,184281.7071
Shacklewell Arms,71 Shaclewell Lane,Hackney,71 Shacklewell Lan,Hackney,www.shacklewellarms.com,10091775225,E09000012,Shacklewell,E05009382,51.55197766,-0.069878565,533915.6036,185441.4618
Slaughtered Lamb,34-35 Great Sutton Street,Islington,,Islington,www.theslaughteredlambpub.com,10008975751,E09000019,Bunhill,E05013699,51.52280309,-0.099658235,531935.3795,182143.046
Betsey Trotwood (The),56 Farringdon Road,,,Islington,https://www.thebetsey.com/,5300032921,E09000019,Clerkenwell,E05013702,51.52284993,-0.106446667,531464.3269,182136.0483
George Tavern (The),373 Commercial Road,,,Tower Hamlets,http://thegeorgetavern.co.uk/,6027924,E09000030,Shadwell,E05009332,51.51382528,-0.051297722,535316.7454,181233.001
Harrison (The),28 Harrison Street,,,Camden,https://harrisonbar.co.uk/,5058943,E09000007,King's Cross,E05013666,51.52705367,-0.118974722,530583.2254,182581.0959
Jazz Cafe,5-7 Parkway London,,,Camden,https://thejazzcafelondon.com/,5048630,E09000007,Camden Town,E05013655,51.53815067,-0.14147655,528991.0397,183775.2183
Lexington (The),96-98 Pentonville Road,,,Islington,https://www.thelexington.co.uk/,5300073232,E09000019,Clerkenwell,E05013702,51.53125957,-0.109832348,531205.2923,183065.1342
Macbeth (The),70 Hoxton St,,,Hackney,https://www.themacbeth.co.uk/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.52963421,-0.078437184,533387.5256,182941.1514
Social (The),5 Little Portland St,,,Westminster,https://www.thesocial.com/,1.00E+11,E09000033,West End,E05013808,51.5168813,-0.13922897,529207.0805,181414.0004
Spice Of Life (The),6 Moor Street,City Of Westminster,,Westminster,https://www.spiceoflifesoho.com,1.00E+11,E09000033,St James's,E05013806,51.51291014,-0.128176925,529985.1697,180991.9567
Underworld,174 Camden High Street,,,Camden,https://www.theunderworldcamden.co.uk,5048636,E09000007,St Pancras & Somers Town,E05013669,51.53868201,-0.140387681,529065.0478,183836.2223
Water Rats,328 Grays Inn Rd,Kings Cross,,Camden,https://www.thewaterratsvenue.london/,5021978,E09000007,King's Cross,E05013666,51.52855501,-0.11781701,530659.233,182750.1104
Tooting Tram And Social,46-48 Mitcham Road; Tooting; London SW17 9NA; Unit,,46-48 Mitcham Rd,Wandsworth,https://www.tootingtramandsocial.co.uk,0,E09000032,Tooting Broadway,E05014024,51.426768,-0.166488,527566.7246,171345.5735
The Oval (Formerly The Oval Tavern),130 Oval Road,Croydon,,Croydon,www.theovaltavern.co.uk,1.00E+11,E09000008,Addiscombe West,E05011463,51.37780104,-0.086039395,533301.5051,166043.4058
Leytonstone Ex-Servicemens Club,2 Harvey Road,Waltham Forest,2 Harvey Road,Waltham Forest,www.leytonstonesocial.club,1.00E+11,E09000031,Leytonstone,E05013897,51.56686787,0.013254244,539633.2732,187252.6258
Beehive (The),104 Empson Street,,,Tower Hamlets,N/A,6072864,E09000030,Bromley South,E05009322,51.52111713,-0.012061756,538017.029,182117.0457
St John At Hackney Church,St. John At Hackney Church,Lower Clapton Road,,Hackney,https://saint.church/,10091775145,E09000012,Homerton,E05009376,51.54869171,-0.051726509,535183.732,185109.4483
Queen Of Hoxton,1-5 Curtain Road; Hoxton; London EC2A 3JX; United ,Hackney,1 Curtain Road,Hackney,www.queenofhoxton.com/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,51.522175,-0.081428,533201.8448,182106.2264
Strongroom,120-124 Curtain Road,Shoreditch,,Hackney,https://www.strongroombar.com/,0,E09000012,Hoxton East & Shoreditch,E05009377,51.52549931,-0.078538806,533392.5583,182481.1587
Fighting Cocks Bar And Venue (The),56 Old London Road,Kingston Upon Thames,,Kingston upon Thames,https://www.the-fighting-cocks.co.uk/,1.00E+11,E09000021,Kingston Town,E05013938,51.41015503,-0.296596695,518564.9264,169279.8579
Waiting Room,175 Stoke Newington High St,Stoke Newington,,Hackney,https://threecrownsn16.com/index.php/gigs/,1.00E+11,E09000012,Stoke Newington,E05009385,51.56155873,-0.072243251,533723.6122,186502.5652
Finsbury (The),336 Green Lanes,Harringay,,Hackney,https://www.thefinsbury.co.uk/,1.00E+11,E09000012,Woodberry Down,E05009387,51.57144052,-0.094686014,532139.4431,187560.626
World's End,21-23 Stroud Green Rd,Finsbury Park,21-23 Stroud Green,Haringey,https://www.worldsendfinsburypark.com/,10007028978,E09000014,Stroud Green,E05013600,51.56646487,-0.106770577,531316.3235,186985.5394
Black Heart (The),3 Greenland Place,Camden,,Camden,https://www.ourblackheart.com/,5082934,E09000007,Camden Town,E05013655,51.539112,-0.141815,528964.8527,183881.5233
Dublin Castle (The),94 Parkway,,,Camden,https://thedublincastle.com/,5037821,E09000007,Camden Town,E05013655,51.5369404,-0.143991906,528820.0212,183636.2075
Powerhaus (Dingwalls),Middle Yard,Camden Town,,Camden,http://dingwalls.com/,5084282,E09000007,Camden Town,E05013655,51.54094199,-0.143958879,528811.0177,184081.2475
Dome (The),2a Dartmouth Park Hill,,,Islington,https://www.dometufnellpark.co.uk,5300027158,E09000019,Junction,E05013707,51.55700428,-0.137144327,529238.0572,185879.405
Fiddlers Elbow (The),1 Malden Rd,Belsize Park,,Camden,https://www.thefiddlerselbow.co.uk/,5051822,E09000007,Haverstock,E05013660,51.54556312,-0.149554849,528409.9698,184585.2961
Olivers Jazz Bar,9 Nevada Street,Greenwich,9 Nevada Street,Greenwich,www.oliversjazzbar.co.uk,10010246216,E09000011,Greenwich Park,E05014081,51.47912797,-0.006384296,538538.1784,177458.6505
New Cross Inn,323 New Cross Road; New Cross; London SE14 6AS; Un,Lewisham,323 New Cross Road,Lewisham,www.newcrossinn.com,1.00E+11,E09000023,Deptford,E05013719,51.475773,-0.037079,536416.8348,177027.9738
Off The Cuff,"Arch 645, 301-303 Railton Rd, Herne Hill SE24 0JN",Lambeth,301-303 Railton Ro,Lambeth,www.offthecuffbar.com,1.00E+11,E09000022,Herne Hill & Loughborough Junction,E05014104,51.452984,-0.102127,531965.4022,174374.6924
Bedford (The) ,77 Bedford Hill,Balham,,Wandsworth,https://thebedford.com/,1.00E+11,E09000032,Balham,E05014009,51.44216166,-0.147693672,528829.9637,173090.1717
Half Moon Putney,93 Lower Richmond Rd,Putney,,Wandsworth,https://www.halfmoon.co.uk/,121002857,E09000032,Thamesfield,E05014022,51.46677792,-0.218533971,523840.4943,175705.498
White Lion Sw16,232 Streatham High Road,Lambeth,,Lambeth,www.whitelionsw16.co.uk,1.00E+11,E09000022,Streatham St Leonard's,E05014115,51.43010618,-0.128196909,530219.1172,171784.0448
Electric Brixton,Town Hall Parade; Brixton; London SW2 1RJ; United ,Brixton,,Lambeth,https://www.electricbrixton.uk.com/,,E09000022,Brixton Acre Lane,E05014095,51.459842,-0.116868,530921.627,175110.8571
Pizza Express (The Pheasantry),"The Pheasantry, 152/154 King's Road",,,Kensington and Chelsea,www.pizzaexpresslive.com/venues/chelsea-the-pheasantry,217047024,E09000020,Royal Hospital,E05009403,51.48857143,-0.163878229,527575.9266,178222.7089
Troubadour,263-267 Old Brompton Rd,,,Kensington and Chelsea,https://www.troubadourlondon.com/,217114565,E09000020,Redcliffe,E05009402,51.48832093,-0.189991804,525763.7316,178149.7132
Nell's Jazz & Blues,3 North End Crescent,Hammersmith And Fulham,3 North End Cresce,Hammersmith and Fulham,https://nells.co.uk/,34151679,E09000013,Avonmore,E05013734,51.49172771,-0.205675684,524665.6098,178501.7531
Pizza Express (Jazz Club Soho),10 Dean Street,City Of Westminster,,Westminster,www.pizzaexpresslive.com/venues/soho-jazz-club,1.00E+11,E09000033,West End,E05013808,51.51512,-0.1333,529623.4298,181228.617
Ronnie Scotts,47 Frith Street,City Of Westminster,47 Frith Street,Westminster,https://www.ronniescotts.co.uk/,10033534558,E09000033,West End,E05013808,51.51289599,-0.130108948,529851.1551,180986.9566
Boston Room (The) At George Iv,185 Chiswick High Rd,,,Hounslow,https://www.georgeiv.co.uk,1.00E+11,E09000018,Chiswick Homefields,E05013610,51.49171527,-0.255509594,521206.2331,178416.7787
Phoenix Arts Club,1 Phoenix Street,,,Camden,https://www.phoenixartsclub.com,5169960,E09000007,Holborn & Covent Garden,E05013662,51.51396932,-0.127484865,530030.1736,181110.9669
The Magic Garden,231 Battersea Park Road,Wandsworth,231 Battersea Park,Wandsworth,http://www.magicgardenpub.com/,10024085883,E09000032,Battersea Park,E05014010,51.47479645,-0.149208915,528633.0128,176716.5452
Arch 1,"Unit 1, West Ham Arches, Cranberry Lane, London E1",Cranberry Lane,Unit 1 The Arches,Newham,,10023994435,E09000025,Canning Town North,E05013906,51.52228,0.00472,539177.6855,182278.1252
Primo Bar,"Park Plaza, Westminster Bridge, 200 Westminster Br",Lambeth,200 Westminster Br,Lambeth,,10008793643,E09000022,Waterloo & South Bank,E05014118,51.500912,-0.116497,530829.9429,179678.5452
Crazy Coqs,20 Sherwood Street,City Of Westminster,20 Sherwood Street,Westminster,www.brasseriezedel.com/live-at-zedel,10033616450,E09000033,St James's,E05013806,51.51005262,-0.133972733,529591.1296,180663.9284
