Museum,Place,Region,Year,Quantity,URL
The Metropolitan Museum of Art (MET),New York City,Americas,1880,1500000,"https://www.metmuseum.org/press/general-information?st=facet&rpp=10&pg=2#:~:text=Its%20collections%20include%201.5%20million,every%20part%20of%20the%20globe."
Museum of Modern Art (MoMA),New York City,Americas,1929,200000,"https://www.moma.org/collection/about/#:~:text=The%20Museum%20of%20Modern%20Art,spanning%20the%20last%20150%20years."
Tate Modern,London,Europe,1897,700000,"https://www.tate.org.uk/about-us/history-tate#:~:text=Today%20we%20have%20four%20major,which%20includes%20nearly%2070%2C000%20artworks."
The British Museum,London,Europe,1759,8000000,https://www.britishmuseum.org/about-us
Musée du Louvre,Paris,Europe,1793,497081,https://mini-site.louvre.fr/trimestriel/2023/RA_2022/22/
Vatican,Vatican City,Europe,1506,70000,https://www.thevaticantickets.com/vatican-museums/
Tokyo National Museum,Tokyo,Asia,1872,120000,https://www.tnm.jp/modules/r_free_page/index.php?id=156
Forbidden City / The Palace Museum,Beijing,Asia,1925,1863404,"https://www.dpm.org.cn/explore/collections#:~:text=%E2%80%9C%E6%95%85%E5%AE%AB%E5%8D%9A%E7%89%A9%E9%99%A2%E2%80%9D%E9%99%A2%E8%97%8F%E6%96%87%E7%89%A9,%E5%A0%AA%E7%A7%B0%E8%89%BA%E6%9C%AF%E7%9A%84%E5%AE%9D%E5%BA%93%E3%80%82"
National Palace Museum,Taipei,Asia,1965,608985,https://www.npm.gov.tw/Articles.aspx?sno=03001513&l=2
National Museum of Anthropology,Mexico City,Americas,1964,600000,"https://sailingstonetravel.com/national-museum-of-anthropology-visitors-guide/#:~:text=The%20museum%20is%20home%20to,Museum%20of%20Anthropology%20comes%20in."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,